observation_date,CHELOLITOAASTSAM
1993-06-01,99.4692795438647
1993-07-01,99.9148394970210
1993-08-01,100.3113694077820
1993-09-01,100.7277821801470
1993-10-01,101.1962375147620
1993-11-01,101.7057043633630
1993-12-01,102.2166878546150
1994-01-01,102.6166696718670
1994-02-01,102.8730974675230
1994-03-01,102.9997768600340
1994-04-01,102.9976963457920
1994-05-01,102.8997321577700
1994-06-01,102.7467620034040
1994-07-01,102.5452229136300
1994-08-01,102.3178027740600
1994-09-01,102.0840253674580
1994-10-01,101.8303247898210
1994-11-01,101.5656191796900
1994-12-01,101.2803334557920
1995-01-01,100.9439910641830
1995-02-01,100.5892597597550
1995-03-01,100.2535620407360
1995-04-01,99.9417581282908
1995-05-01,99.6792877165398
1995-06-01,99.4849187322835
1995-07-01,99.3353701608726
1995-08-01,99.2257384276848
1995-09-01,99.1305967478957
1995-10-01,99.0369516279218
1995-11-01,98.9369402658903
1995-12-01,98.8028960094144
1996-01-01,98.6385198029045
1996-02-01,98.4423417296759
1996-03-01,98.2295636118890
1996-04-01,98.0208172853066
1996-05-01,97.8317618576211
1996-06-01,97.6467855147692
1996-07-01,97.4917819242796
1996-08-01,97.4044738845213
1996-09-01,97.3826527369068
1996-10-01,97.4483936995820
1996-11-01,97.5958768336669
1996-12-01,97.8162015704191
1997-01-01,98.1292596706762
1997-02-01,98.5039706838936
1997-03-01,98.8997586990808
1997-04-01,99.3033416569963
1997-05-01,99.7290525020818
1997-06-01,100.1084992596580
1997-07-01,100.4403424724740
1997-08-01,100.7272168840760
1997-09-01,100.9909850682760
1997-10-01,101.2331921306700
1997-11-01,101.4593141315730
1997-12-01,101.6735616651530
1998-01-01,101.8534921911310
1998-02-01,101.9602624660670
1998-03-01,101.9838227247200
1998-04-01,101.9235146403880
1998-05-01,101.7765621639240
1998-06-01,101.5636556750170
1998-07-01,101.2589390083710
1998-08-01,100.8287473274330
1998-09-01,100.3526125179170
1998-10-01,99.9479895743211
1998-11-01,99.7185751283780
1998-12-01,99.6837575010108
1999-01-01,99.7816568522384
1999-02-01,99.9365415872286
1999-03-01,100.1030307411100
1999-04-01,100.2874736612670
1999-05-01,100.4804226995490
1999-06-01,100.7184046357280
1999-07-01,100.9942001194390
1999-08-01,101.2792054498920
1999-09-01,101.5831343909500
1999-10-01,101.8765749572460
1999-11-01,102.1308085545230
1999-12-01,102.3257752914150
2000-01-01,102.4382247852450
2000-02-01,102.4957433815630
2000-03-01,102.5107470620110
2000-04-01,102.4841464129840
2000-05-01,102.4460130766020
2000-06-01,102.4392164747580
2000-07-01,102.4273995917730
2000-08-01,102.4471962175990
2000-09-01,102.4558031833520
2000-10-01,102.3785137894360
2000-11-01,102.2038181720410
2000-12-01,101.9233857256250
2001-01-01,101.5580587865270
2001-02-01,101.1513052661380
2001-03-01,100.7069245503150
2001-04-01,100.2469537476520
2001-05-01,99.7803621672474
2001-06-01,99.2771173093081
2001-07-01,98.7222194372852
2001-08-01,98.1918047949839
2001-09-01,97.7221819675904
2001-10-01,97.4168512058596
2001-11-01,97.3809825393719
2001-12-01,97.6044515074027
2002-01-01,98.0148646154548
2002-02-01,98.5005631330874
2002-03-01,98.9310351733782
2002-04-01,99.2205275297436
2002-05-01,99.2813926698976
2002-06-01,99.0702510468237
2002-07-01,98.6877284965662
2002-08-01,98.2581387287091
2002-09-01,97.8499948141335
2002-10-01,97.5175564995324
2002-11-01,97.2521667038550
2002-12-01,97.0286857073188
2003-01-01,96.8434018519942
2003-02-01,96.6753501992066
2003-03-01,96.5603492383392
2003-04-01,96.5376810347013
2003-05-01,96.6436552213529
2003-06-01,96.8763054026009
2003-07-01,97.2468927121977
2003-08-01,97.7164898621229
2003-09-01,98.2571106096154
2003-10-01,98.8447428522874
2003-11-01,99.4059467458632
2003-12-01,99.9068996876768
2004-01-01,100.3389124237460
2004-02-01,100.6726622176570
2004-03-01,100.8725151149260
2004-04-01,100.9008163944370
2004-05-01,100.7894790581540
2004-06-01,100.6193745839470
2004-07-01,100.4163689970110
2004-08-01,100.1631025958470
2004-09-01,99.8950978272674
2004-10-01,99.6310226663678
2004-11-01,99.4123812608883
2004-12-01,99.2723669040253
2005-01-01,99.1975492887233
2005-02-01,99.1668029316894
2005-03-01,99.1609033548217
2005-04-01,99.1606006275362
2005-05-01,99.1534523293232
2005-06-01,99.1484845238162
2005-07-01,99.2026965990354
