report_date_as_yyyy_mm_dd,cftc_contract_market_code,contract_market_name,open_interest_all,lev_money_positions_long,lev_money_positions_short,asset_mgr_positions_long,asset_mgr_positions_short,dealer_positions_long_all,dealer_positions_short_all,other_rept_positions_long,other_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all
2006-07-25T00:00:00.000,092741,SWISS FRANC,73560,14815,34295,634,0,45623,18795,450,2029,11762,18165
2006-07-25T00:00:00.000,096742,BRITISH POUND,102104,47400,16661,8759,2319,15916,63387,0,592,24384,13500
2006-07-25T00:00:00.000,097741,JAPANESE YEN,208508,19603,98230,26616,2620,85051,30484,6370,3905,29247,31648
2006-07-25T00:00:00.000,098662,USD INDEX,16878,10588,5288,101,623,1245,4075,966,1968,1505,2451
2006-07-25T00:00:00.000,099741,EURO FX,146454,46022,13658,21684,11973,13635,77956,6450,3718,48873,29359
2006-07-25T00:00:00.000,112741,NZ DOLLAR,16341,9103,5875,1155,0,3861,7768,0,727,1439,1188
2006-07-25T00:00:00.000,232741,AUSTRALIAN DOLLAR,62339,36059,5412,1964,906,1108,43881,546,2728,21733,8483
2006-08-01T00:00:00.000,090741,CANADIAN DOLLAR,86048,18209,21365,5204,6318,21292,33667,3248,3216,34603,17990
2006-08-01T00:00:00.000,092741,SWISS FRANC,65105,15954,23990,634,0,35667,23249,450,829,12096,16733
2006-08-01T00:00:00.000,096742,BRITISH POUND,114075,56694,17164,8067,2306,13882,73563,0,825,29979,14764
2006-08-01T00:00:00.000,097741,JAPANESE YEN,195626,25925,65444,27134,2633,63374,53767,6791,2937,30293,28736
2006-08-01T00:00:00.000,098662,USD INDEX,15676,9942,4999,0,677,1307,2786,725,1849,1288,2951
2006-08-01T00:00:00.000,099741,EURO FX,157856,59548,8527,20602,11964,10778,99667,7200,2404,51204,26770
2006-08-01T00:00:00.000,112741,NZ DOLLAR,18160,10955,5620,1177,0,3540,10019,0,463,1624,1194
2006-08-01T00:00:00.000,232741,AUSTRALIAN DOLLAR,67931,38784,2889,1971,906,1110,53256,546,1507,24243,8096
2006-08-08T00:00:00.000,090741,CANADIAN DOLLAR,82510,21347,10900,4693,6316,14013,43451,3523,3215,36571,16265
2006-08-08T00:00:00.000,092741,SWISS FRANC,72643,20156,33692,429,0,36190,24267,450,829,15094,13531
2006-08-08T00:00:00.000,096742,BRITISH POUND,128112,66302,12281,7872,2032,15756,91937,975,0,32278,16933
2006-08-08T00:00:00.000,097741,JAPANESE YEN,198570,26517,71414,29198,2379,62760,55235,6890,1494,31421,26264
2006-08-08T00:00:00.000,098662,USD INDEX,18272,11387,7205,0,936,2433,1406,455,2248,947,3427
2006-08-08T00:00:00.000,099741,EURO FX,177763,74394,6944,20124,12104,12788,124551,8063,1477,53545,23838
2006-08-08T00:00:00.000,112741,NZ DOLLAR,17327,9302,4876,1228,176,3971,10170,173,181,1626,897
2006-08-08T00:00:00.000,232741,AUSTRALIAN DOLLAR,65353,35632,2293,2163,906,627,51956,1445,984,24343,8071
2006-08-15T00:00:00.000,090741,CANADIAN DOLLAR,86815,27173,13808,4477,6316,15367,41215,3630,3295,33493,19506
2006-08-15T00:00:00.000,092741,SWISS FRANC,66021,11754,26450,429,0,41061,23057,450,1021,12005,15171
2006-08-15T00:00:00.000,096742,BRITISH POUND,135944,74224,13372,7740,1990,14326,100053,471,512,34536,15370
2006-08-15T00:00:00.000,097741,JAPANESE YEN,216492,31881,89206,30596,2384,69296,47688,7748,1308,33299,32234
2006-08-15T00:00:00.000,098662,USD INDEX,18471,11182,7481,0,945,2830,1432,373,2252,1033,3308
2006-08-15T00:00:00.000,099741,EURO FX,178761,73151,6576,20271,11443,12992,123008,8217,1129,53607,26082
2006-08-15T00:00:00.000,112741,NZ DOLLAR,19536,13333,3284,1222,176,2810,14351,129,629,1882,936
2006-08-15T00:00:00.000,232741,AUSTRALIAN DOLLAR,72893,42703,3162,2169,906,527,59716,1135,1061,25458,7147
2006-08-22T00:00:00.000,090741,CANADIAN DOLLAR,86667,26608,9518,4510,6549,14921,43073,2054,4416,34519,19056
2006-08-22T00:00:00.000,092741,SWISS FRANC,68484,15968,25979,429,0,37097,27250,450,543,12950,13122
2006-08-22T00:00:00.000,096742,BRITISH POUND,127943,66667,13465,8036,1935,17341,92446,457,0,30817,15472
2006-08-22T00:00:00.000,097741,JAPANESE YEN,227195,30425,100944,30135,2573,82102,42502,7555,2758,32543,33983
2006-08-22T00:00:00.000,098662,USD INDEX,19174,10983,8345,0,943,3576,1450,575,2200,950,3146
2006-08-22T00:00:00.000,099741,EURO FX,175943,68246,6883,17037,11437,11753,116692,8667,1077,57928,27542
2006-08-22T00:00:00.000,112741,NZ DOLLAR,19886,11787,3563,1229,176,3032,14219,1032,289,2077,910
2006-08-22T00:00:00.000,232741,AUSTRALIAN DOLLAR,62131,32508,995,1961,906,946,49951,546,1076,24476,7509
2006-08-29T00:00:00.000,090741,CANADIAN DOLLAR,106142,45042,12589,4861,7870,14585,59789,2431,1761,34304,19214
2006-08-29T00:00:00.000,092741,SWISS FRANC,68787,11175,25017,420,0,43599,27049,450,1222,11449,13805
2006-08-29T00:00:00.000,096742,BRITISH POUND,130539,68325,13081,8312,1974,16363,95388,1063,0,31933,15553
2006-08-29T00:00:00.000,097741,JAPANESE YEN,244441,29955,118718,31240,3524,95848,38581,7613,1971,34955,36817
2006-08-29T00:00:00.000,098662,USD INDEX,19685,11541,8943,0,831,3793,1839,664,2226,937,3096
2006-08-29T00:00:00.000,099741,EURO FX,170168,63077,7535,17396,10347,13992,107769,7470,1113,54968,30139
