observation_date,CSCICP03GBM665S
2016-10-01,101.33880
2016-11-01,101.24980
2016-12-01,101.16490
2017-01-01,101.05680
2017-02-01,100.95920
2017-03-01,100.92420
2017-04-01,100.89310
2017-05-01,100.80690
2017-06-01,100.63720
2017-07-01,100.57360
2017-08-01,100.51280
2017-09-01,100.50050
2017-10-01,100.54030
2017-11-01,100.55500
2017-12-01,100.57450
2018-01-01,100.64440
2018-02-01,100.75720
2018-03-01,100.85720
2018-04-01,100.90440
2018-05-01,101.02620
2018-06-01,101.06700
2018-07-01,101.14710
2018-08-01,101.06710
2018-09-01,100.88300
2018-10-01,100.68420
2018-11-01,100.42450
2018-12-01,100.12090
2019-01-01,99.83685
2019-02-01,99.70806
2019-03-01,99.69810
2019-04-01,99.85291
2019-05-01,100.08420
2019-06-01,100.16570
2019-07-01,100.20710
2019-08-01,100.01840
2019-09-01,99.97532
2019-10-01,100.07460
2019-11-01,100.37990
2019-12-01,100.72140
2020-01-01,100.84340
2020-02-01,100.49130
2020-03-01,99.44043
2020-04-01,97.92415
2020-05-01,97.18063
2020-06-01,97.31718
2020-07-01,97.80187
2020-08-01,98.00700
2020-09-01,97.83266
2020-10-01,97.50163
2020-11-01,97.40619
2020-12-01,97.80963
2021-01-01,98.38744
2021-02-01,99.43591
2021-03-01,100.71500
2021-04-01,101.72220
2021-05-01,102.49120
2021-06-01,102.83700
2021-07-01,102.78250
2021-08-01,102.27660
2021-09-01,101.43700
2021-10-01,100.74140
2021-11-01,100.41860
2021-12-01,99.94845
2022-01-01,98.95043
2022-02-01,97.46562
2022-03-01,95.94691
2022-04-01,94.66597
2022-05-01,93.90968
2022-06-01,93.49792
2022-07-01,93.16212
2022-08-01,92.64215
2022-09-01,92.21105
2022-10-01,92.31344
2022-11-01,92.73724
2022-12-01,93.14101
2023-01-01,93.57465
2023-02-01,94.39042
2023-03-01,95.30563
2023-04-01,96.34989
2023-05-01,97.20181
2023-06-01,97.65595
2023-07-01,97.65241
2023-08-01,97.83019
2023-09-01,97.89356
2023-10-01,97.69367
2023-11-01,97.98371
2023-12-01,98.47791
2024-01-01,99.07277
