observation_date,XTEXVA01EZM667S
2012-09-01,202999935662.355988
2012-10-01,203716361995.034973
2012-11-01,200039328005.600006
2012-12-01,205872463586.921997
2013-01-01,207878989361.701996
2013-02-01,208861717030.217987
2013-03-01,208846185160.056946
2013-04-01,208524077911.313995
2013-05-01,203136237256.718994
2013-06-01,205820961631.246002
2013-07-01,204883545983.713989
2013-08-01,211795388853.653015
2013-09-01,211973659118.300995
2013-10-01,214324131790.904999
2013-11-01,213929807207.479004
2013-12-01,214022301442.597992
2014-01-01,216935545773.730011
2014-02-01,220338614765.233002
2014-03-01,219003342451.104004
2014-04-01,220558632915.588013
2014-05-01,220136930201.431000
2014-06-01,219305778179.436005
2014-07-01,218414130875.483002
2014-08-01,212387205028.497986
2014-09-01,214445358525.216949
2014-10-01,207768043015.161011
2014-11-01,202480508330.753998
2014-12-01,203746980141.334015
2015-01-01,191681099236.382996
2015-02-01,191263203200.679993
2015-03-01,184452926483.893005
2015-04-01,186278154537.071014
2015-05-01,192222859893.954987
2015-06-01,195539553600.515991
2015-07-01,190011998851.785004
2015-08-01,185068812858.918945
2015-09-01,186065034523.234985
2015-10-01,191124882065.357025
2015-11-01,179880356357.945007
2015-12-01,184358385902.924011
2016-01-01,180789477354.832001
2016-02-01,184581413463.950012
2016-03-01,186272218840.395996
2016-04-01,192564081656.016998
2016-05-01,187782346370.092987
2016-06-01,191457001080.864014
2016-07-01,184634512762.670013
2016-08-01,191523788175.959991
2016-09-01,191014732795.134003
2016-10-01,187023878849.308014
2016-11-01,188019354443.559998
2016-12-01,187976860059.985992
2017-01-01,189248382813.662994
2017-02-01,191729084785.024994
2017-03-01,197015795614.601990
2017-04-01,195039778945.738953
2017-05-01,205307698076.130005
2017-06-01,201961963577.454010
2017-07-01,206348162628.596008
2017-08-01,216665634461.877014
2017-09-01,219047200640.301025
2017-10-01,210387536922.018005
2017-11-01,221201884258.056000
2017-12-01,228114880665.010986
2018-01-01,230311491161.460999
2018-02-01,227423110956.433990
2018-03-01,231566838071.485992
2018-04-01,233725421452.950012
2018-05-01,221583533282.181000
2018-06-01,223629028177.291992
2018-07-01,221171895913.623993
2018-08-01,223858382061.626953
2018-09-01,222480351525.674011
2018-10-01,220442491485.554993
2018-11-01,217251782767.144012
2018-12-01,217902399849.135986
2019-01-01,221000044186.914001
2019-02-01,220695551145.769012
2019-03-01,222063035415.058014
2019-04-01,219341684048.384003
2019-05-01,221199988132.075989
2019-06-01,214552607368.979004
2019-07-01,217602450813.321014
2019-08-01,217199962782.005005
2019-09-01,216488549138.139008
2019-10-01,219079607322.192993
2019-11-01,214011849263.893005
2019-12-01,215090892928.574951
2020-01-01,217274025732.677002
2020-02-01,213723614829.679047
2020-03-01,200554737361.324005
2020-04-01,147371081900.910004
2020-05-01,161467991393.533997
2020-06-01,184134833392.872986
2020-07-01,200090148106.875000
2020-08-01,205999194477.381989
2020-09-01,214039804486.106995
2020-10-01,220120527822.838013
2020-11-01,223993286945.605011
2020-12-01,233344094940.545990
2021-01-01,233158632839.210999
2021-02-01,233366556031.855011
2021-03-01,237493004639.777008
2021-04-01,235911595361.203003
2021-05-01,241594836639.997009
2021-06-01,240386445545.437988
2021-07-01,238099302017.838013
2021-08-01,237081980541.187988
2021-09-01,238492020819.858002
2021-10-01,240429644622.717010
2021-11-01,243628526649.830994
2021-12-01,240866462978.395996
2022-01-01,253797129229.933014
2022-02-01,256064380584.180969
2022-03-01,248611512039.347992
2022-04-01,250415214573.733002
2022-05-01,257116540729.753052
2022-06-01,255074726854.748993
2022-07-01,239236223961.463989
2022-08-01,249376580209.914001
2022-09-01,247214255317.042999
2022-10-01,243702527775.449005
2022-11-01,255417669200.131012
2022-12-01,253612572701.208008
2023-01-01,259616242997.799988
2023-02-01,259719210209.136963
2023-03-01,259394228113.973999
2023-04-01,257089586399.906006
