observation_date,CSCICP03O9M665S
1997-06-01,100.5108654879970
1997-07-01,100.6026958940170
1997-08-01,100.6133934529150
1997-09-01,100.5800942229580
1997-10-01,100.5150416368730
1997-11-01,100.4638006865620
1997-12-01,100.4303022165000
1998-01-01,100.4764958062990
1998-02-01,100.5140356072850
1998-03-01,100.4804229337740
1998-04-01,100.4275272174180
1998-05-01,100.3497925776800
1998-06-01,100.2675343301950
1998-07-01,100.2170049890510
1998-08-01,100.1867572459150
1998-09-01,100.1684799943430
1998-10-01,100.1893562392600
1998-11-01,100.2686030654560
1998-12-01,100.3742782032240
1999-01-01,100.5195172352800
1999-02-01,100.6079719011580
1999-03-01,100.5959807270280
1999-04-01,100.5844477843670
1999-05-01,100.6332432955090
1999-06-01,100.7159185290390
1999-07-01,100.7842294490190
1999-08-01,100.8589261254450
1999-09-01,100.9559073462960
1999-10-01,101.0621641135840
1999-11-01,101.2004858693350
1999-12-01,101.3523693844960
2000-01-01,101.5042838280420
2000-02-01,101.5368224903360
2000-03-01,101.5281371872180
2000-04-01,101.5322112474430
2000-05-01,101.5406096154530
2000-06-01,101.5248216732670
2000-07-01,101.5264433003330
2000-08-01,101.4838981532650
2000-09-01,101.3944070856610
2000-10-01,101.3355749491200
2000-11-01,101.2506021039270
2000-12-01,101.1073435932700
2001-01-01,100.9742843509490
2001-02-01,100.8628662334970
2001-03-01,100.7990258569690
2001-04-01,100.7488831003240
2001-05-01,100.7079618615550
2001-06-01,100.6724457433480
2001-07-01,100.6262448523910
2001-08-01,100.5023756948760
2001-09-01,100.3022923464760
2001-10-01,100.1784370173340
2001-11-01,100.1959325190280
2001-12-01,100.3248677199820
2002-01-01,100.4453105947880
2002-02-01,100.5447300730070
2002-03-01,100.6443436395400
2002-04-01,100.6850230117140
2002-05-01,100.6891793466170
2002-06-01,100.6080133494270
2002-07-01,100.4977042582660
2002-08-01,100.3863167371080
2002-09-01,100.2779316967980
2002-10-01,100.1515597463210
2002-11-01,100.0609551106990
2002-12-01,99.9422695264225
2003-01-01,99.7691872710017
2003-02-01,99.6021828795071
2003-03-01,99.5201545115722
2003-04-01,99.5922280962397
2003-05-01,99.7470419771232
2003-06-01,99.9094383869199
2003-07-01,100.0297966559100
2003-08-01,100.0812097482390
2003-09-01,100.1260849083090
2003-10-01,100.2196881646570
2003-11-01,100.3641860351720
2003-12-01,100.5152649483570
2004-01-01,100.6538533531560
2004-02-01,100.6460421126210
2004-03-01,100.5969418383680
2004-04-01,100.5430863711260
2004-05-01,100.4907758107660
2004-06-01,100.4856627895810
2004-07-01,100.5208453572270
2004-08-01,100.5310369064700
2004-09-01,100.5399110808190
2004-10-01,100.5836272788740
2004-11-01,100.6601016334710
2004-12-01,100.7541581481070
2005-01-01,100.8285204258750
2005-02-01,100.8283771998140
2005-03-01,100.7370223254970
2005-04-01,100.6330417439230
2005-05-01,100.5976437392550
2005-06-01,100.6397603766050
2005-07-01,100.6131961842940
2005-08-01,100.4418919111910
2005-09-01,100.2224553030950
2005-10-01,100.1788758422640
2005-11-01,100.3444765539450
2005-12-01,100.6036836611450
2006-01-01,100.7889493286170
2006-02-01,100.8255551308760
2006-03-01,100.8030965889370
2006-04-01,100.7273850461940
2006-05-01,100.6057584814680
2006-06-01,100.5518834674380
2006-07-01,100.5556215041260
2006-08-01,100.6095601073610
2006-09-01,100.7604258874670
2006-10-01,100.9547575938320
2006-11-01,101.0751741758250
2006-12-01,101.1357181164400
2007-01-01,101.1357329789840
2007-02-01,101.0757142256470
2007-03-01,101.0187291857760
2007-04-01,101.0348813960800
2007-05-01,101.0898054066210
2007-06-01,101.0968229020580
2007-07-01,101.0635493429810
2007-08-01,100.9413306844420
2007-09-01,100.7754512499680
2007-10-01,100.5818235378030
2007-11-01,100.3759746568180
2007-12-01,100.2293959559910
2008-01-01,100.0483575021090
2008-02-01,99.7874561481513
2008-03-01,99.4777754013551
2008-04-01,99.0936766474112
2008-05-01,98.7313664661211
2008-06-01,98.4553486357369
2008-07-01,98.3675239867689
2008-08-01,98.3946332409412
2008-09-01,98.3023084037432
2008-10-01,97.9278656293557
2008-11-01,97.5318434793834
2008-12-01,97.2369434771474
2009-01-01,97.0627752190535
2009-02-01,97.0004607154508
2009-03-01,97.1566159135333
2009-04-01,97.5239274998444
2009-05-01,97.9184821771108
2009-06-01,98.2419634464609
2009-07-01,98.4819074163959
2009-08-01,98.6922571057298
2009-09-01,98.8938573711907
2009-10-01,99.0028208628851
2009-11-01,99.0673805204724
2009-12-01,99.1721242957468
2010-01-01,99.3013003062188
2010-02-01,99.4043435612383
2010-03-01,99.5082597890606
2010-04-01,99.5590634346550
2010-05-01,99.5709653193802
2010-06-01,99.5488582611080
2010-07-01,99.4825652688957
2010-08-01,99.4312891150352
2010-09-01,99.3613659513342
2010-10-01,99.3178188918361
2010-11-01,99.3025931588361
2010-12-01,99.2549465284224
2011-01-01,99.2116991186958
2011-02-01,99.2075943349229
2011-03-01,99.2027186585022
2011-04-01,99.2035646276184
2011-05-01,99.2440926952236
2011-06-01,99.2136871927342
2011-07-01,99.0128873891489
2011-08-01,98.7347450367059
2011-09-01,98.5435394481777
2011-10-01,98.4442969846301
2011-11-01,98.4914493474519
2011-12-01,98.6956744372618
2012-01-01,98.9479904682691
2012-02-01,99.1014920606602
2012-03-01,99.1281608386784
2012-04-01,99.1336988700344
2012-05-01,99.0766576989014
2012-06-01,98.9038710314375
2012-07-01,98.7973720146580
2012-08-01,98.8201546386047
2012-09-01,98.9496777945896
2012-10-01,99.1155649584737
2012-11-01,99.1685162045828
2012-12-01,99.1428663259144
2013-01-01,99.2101257818542
2013-02-01,99.2937258321805
2013-03-01,99.2668611171220
2013-04-01,99.2168572559084
2013-05-01,99.1537175339316
2013-06-01,99.1189312702114
2013-07-01,99.1453396019119
2013-08-01,99.1846861803020
2013-09-01,99.2185613026071
2013-10-01,99.2240932047768
2013-11-01,99.2398495691920
2013-12-01,99.3325712363218
2014-01-01,99.4183059356623
2014-02-01,99.5495922129514
2014-03-01,99.7091565766737
2014-04-01,99.7765438911633
2014-05-01,99.7752444085188
2014-06-01,99.7878774623041
2014-07-01,99.7711568417607
2014-08-01,99.7415764016599
2014-09-01,99.7190173932336
2014-10-01,99.6954047066969
2014-11-01,99.7279825507240
2014-12-01,99.8168476714780
2015-01-01,99.9326356351984
2015-02-01,100.0391188468370
2015-03-01,100.0773018300070
2015-04-01,100.0932641475180
2015-05-01,100.0479137557660
2015-06-01,99.9188154893926
2015-07-01,99.7486172831669
