observation_date,LMUNRRTTCHM156S
2018-11-01,2.38362000
2018-12-01,2.35117900
2019-01-01,2.32898300
2019-02-01,2.30911800
2019-03-01,2.30706800
2019-04-01,2.30730600
2019-05-01,2.30471700
2019-06-01,2.31533000
2019-07-01,2.30913900
2019-08-01,2.29363000
2019-09-01,2.28858300
2019-10-01,2.29949700
2019-11-01,2.30982900
2019-12-01,2.31267700
2020-01-01,2.30352500
2020-02-01,2.30332900
2020-03-01,2.82894700
2020-04-01,3.31538900
2020-05-01,3.50550200
2020-06-01,3.47250400
2020-07-01,3.42947800
2020-08-01,3.41899400
2020-09-01,3.38242900
2020-10-01,3.36037200
2020-11-01,3.34666800
2020-12-01,3.36196000
2021-01-01,3.39258700
2021-02-01,3.40413700
2021-03-01,3.32428500
2021-04-01,3.26529400
2021-05-01,3.20493100
2021-06-01,3.05649500
2021-07-01,2.96707200
2021-08-01,2.86733900
2021-09-01,2.75324900
2021-10-01,2.64912200
2021-11-01,2.54895400
2021-12-01,2.47129900
2022-01-01,2.38072300
2022-02-01,2.33386900
2022-03-01,2.28377400
2022-04-01,2.25445200
2022-05-01,2.21371000
2022-06-01,2.18441000
2022-07-01,2.14743200
2022-08-01,2.09940300
2022-09-01,2.07347500
2022-10-01,2.04530600
2022-11-01,2.00634800
2022-12-01,1.95277200
2023-01-01,1.92717000
2023-02-01,1.92488600
2023-03-01,1.93295600
2023-04-01,1.95449100
2023-05-01,1.99257900
2023-06-01,2.01861600
2023-07-01,2.04595800
2023-08-01,2.06218500
2023-09-01,2.09805400
2023-10-01,2.12011100
2023-11-01,2.14671400
2023-12-01,2.17264200
