observation_date,USAPIEAMP01GPM
1998-12-01,-0.2377179118
1999-01-01,0.2382843564
1999-02-01,-0.2377179118
1999-03-01,0.3177124604
1999-04-01,0.8709422148
1999-05-01,0.2354787960
1999-06-01,0.0783085369
1999-07-01,0.3912363129
1999-08-01,0.5455962528
1999-09-01,0.5426356674
1999-10-01,0.3855050033
1999-11-01,0.0768049167
1999-12-01,0.1534919441
2000-01-01,0.2298850611
2000-02-01,1.0703363798
2000-03-01,0.5295007648
2000-04-01,-0.2257336378
2000-05-01,0.3770739124
2000-06-01,0.8264462800
2000-07-01,-0.2235469484
2000-08-01,-0.2987304005
2000-09-01,0.8988764047
2000-10-01,0.1484781018
2000-11-01,0.0000000000
2000-12-01,-0.4447738998
2001-01-01,0.3723008111
2001-02-01,0.0000000000
2001-03-01,-0.2225519185
2001-04-01,0.8178438651
2001-05-01,0.6637168108
2001-06-01,-0.5128205208
2001-07-01,-1.0309278239
2001-08-01,0.1488095123
2001-09-01,0.7429420622
2001-10-01,-1.4011799492
2001-11-01,-0.7479431542
2001-12-01,-0.8289374519
2002-01-01,0.0759878431
2002-02-01,0.2277904364
2002-03-01,0.6060606015
2002-04-01,0.7530120460
2002-05-01,-0.2242152502
2002-06-01,0.0749063682
2002-07-01,0.0000000000
2002-08-01,0.0748503006
2002-09-01,0.9723261046
2002-10-01,0.4444444514
2002-11-01,-0.7374631383
2002-12-01,-0.4457652235
2003-01-01,1.2686567224
2003-02-01,1.4001473784
2003-03-01,0.7994186037
2003-04-01,-1.7303532808
2003-05-01,-0.3668378634
2003-06-01,0.3681885183
2003-07-01,0.0733675727
2003-08-01,0.4398826912
2003-09-01,0.0729927019
2003-10-01,0.8023340618
2003-11-01,-0.3617944930
2003-12-01,0.0000000000
2004-01-01,0.8714596951
2004-02-01,0.2879769663
2004-03-01,0.7178750876
2004-04-01,1.0691375526
2004-05-01,1.0578279302
2004-06-01,-0.2791346869
2004-07-01,0.2099370222
2004-08-01,0.3491620166
2004-09-01,0.3479471046
2004-10-01,1.5950069341
2004-11-01,-0.2730375343
2004-12-01,-0.7529089655
2005-01-01,0.8275862070
2005-02-01,0.5471956183
2005-03-01,1.2925170018
2005-04-01,0.4701141780
2005-05-01,-0.1336898417
2005-06-01,0.1338688107
2005-07-01,0.9358288792
2005-08-01,0.5298013205
2005-09-01,1.5810276683
2005-10-01,1.5564202337
2005-11-01,-2.4904214593
2005-12-01,0.0654878858
2006-01-01,0.8507853415
2006-02-01,-0.3893575541
2006-03-01,0.9771986881
2006-04-01,1.4193548370
2006-05-01,0.8269720114
2006-06-01,0.6309148247
2006-07-01,-0.0626959141
2006-08-01,0.2509410211
2006-09-01,-1.8773466779
2006-10-01,-0.5739795890
2006-11-01,0.3207184023
2006-12-01,0.3196930996
2007-01-01,-0.3186743198
2007-02-01,0.8312020472
2007-03-01,1.5218769819
2007-04-01,1.3116801972
2007-05-01,0.9864365022
