observation_date,BSCICP03NZM665S
2008-10-01,98.00573
2008-11-01,97.39975
2008-12-01,96.93698
2009-01-01,96.89522
2009-02-01,97.15981
2009-03-01,97.61235
2009-04-01,98.21304
2009-05-01,98.89513
2009-06-01,99.62635
2009-07-01,100.38910
2009-08-01,101.11110
2009-09-01,101.67620
2009-10-01,101.97520
2009-11-01,102.11400
2009-12-01,102.19830
2010-01-01,102.27780
2010-02-01,102.34600
2010-03-01,102.35610
2010-04-01,102.24870
2010-05-01,102.03800
2010-06-01,101.72200
2010-07-01,101.29710
2010-08-01,100.87730
2010-09-01,100.61920
2010-10-01,100.64260
2010-11-01,100.78820
2010-12-01,100.85500
2011-01-01,100.71510
2011-02-01,100.50740
2011-03-01,100.44520
2011-04-01,100.69280
2011-05-01,101.09510
2011-06-01,101.43700
2011-07-01,101.54620
2011-08-01,101.45860
2011-09-01,101.20810
2011-10-01,100.81450
2011-11-01,100.43350
2011-12-01,100.27160
2012-01-01,100.48730
2012-02-01,100.87390
2012-03-01,101.16680
2012-04-01,101.17880
2012-05-01,101.03050
2012-06-01,100.89190
2012-07-01,100.88510
2012-08-01,100.97670
2012-09-01,101.11560
2012-10-01,101.27140
2012-11-01,101.42710
2012-12-01,101.57490
2013-01-01,101.71440
2013-02-01,101.85730
2013-03-01,102.01870
2013-04-01,102.20630
2013-05-01,102.39030
2013-06-01,102.52500
2013-07-01,102.57600
2013-08-01,102.59430
2013-09-01,102.64660
2013-10-01,102.77680
2013-11-01,102.93460
2013-12-01,103.03910
2014-01-01,103.01550
2014-02-01,102.88500
2014-03-01,102.65880
2014-04-01,102.33910
2014-05-01,102.01600
2014-06-01,101.80790
2014-07-01,101.80560
2014-08-01,101.90130
2014-09-01,101.95940
2014-10-01,101.88960
2014-11-01,101.75670
2014-12-01,101.65510
2015-01-01,101.64450
2015-02-01,101.65630
2015-03-01,101.57560
2015-04-01,101.30150
2015-05-01,100.89940
2015-06-01,100.44870
2015-07-01,100.01700
2015-08-01,99.68432
2015-09-01,99.57780
2015-10-01,99.80827
2015-11-01,100.18020
2015-12-01,100.45410
2016-01-01,100.46820
2016-02-01,100.35680
2016-03-01,100.31530
