observation_date,BSCICP03CHM665S
2011-08-01,100.22720
2011-09-01,99.87216
2011-10-01,99.66145
2011-11-01,99.56918
2011-12-01,99.60671
2012-01-01,99.67762
2012-02-01,99.83105
2012-03-01,100.02380
2012-04-01,100.07580
2012-05-01,100.06190
2012-06-01,100.05240
2012-07-01,100.06390
2012-08-01,100.09340
2012-09-01,99.97536
2012-10-01,99.78641
2012-11-01,99.69612
2012-12-01,99.78110
2013-01-01,100.00920
2013-02-01,100.17750
2013-03-01,100.16460
2013-04-01,100.09790
2013-05-01,100.03210
2013-06-01,99.99751
2013-07-01,100.05650
2013-08-01,100.18020
2013-09-01,100.36860
2013-10-01,100.56110
2013-11-01,100.70880
2013-12-01,100.79110
2014-01-01,100.80910
2014-02-01,100.78250
2014-03-01,100.70280
2014-04-01,100.57200
2014-05-01,100.49740
2014-06-01,100.45090
2014-07-01,100.37030
2014-08-01,100.29340
2014-09-01,100.25400
2014-10-01,100.22700
2014-11-01,100.13500
2014-12-01,99.97150
2015-01-01,99.65084
2015-02-01,99.29674
2015-03-01,99.23073
2015-04-01,99.26615
2015-05-01,99.33282
2015-06-01,99.38484
2015-07-01,99.45913
2015-08-01,99.52046
2015-09-01,99.43825
2015-10-01,99.34856
2015-11-01,99.34960
2015-12-01,99.41479
2016-01-01,99.48804
2016-02-01,99.53068
2016-03-01,99.59210
2016-04-01,99.69475
2016-05-01,99.73647
2016-06-01,99.76680
2016-07-01,99.83849
2016-08-01,99.87198
2016-09-01,99.91169
2016-10-01,99.90808
2016-11-01,99.91817
2016-12-01,100.01850
2017-01-01,100.15060
2017-02-01,100.29640
2017-03-01,100.43850
2017-04-01,100.53600
2017-05-01,100.58930
2017-06-01,100.66350
2017-07-01,100.80140
2017-08-01,100.99680
2017-09-01,101.23980
2017-10-01,101.47980
2017-11-01,101.67810
2017-12-01,101.80090
2018-01-01,101.88510
2018-02-01,101.95960
2018-03-01,102.02800
2018-04-01,102.12690
2018-05-01,102.22000
2018-06-01,102.24000
2018-07-01,102.16280
2018-08-01,102.09650
2018-09-01,102.07480
2018-10-01,102.03290
2018-11-01,101.83320
2018-12-01,101.60450
2019-01-01,101.44560
2019-02-01,101.33500
2019-03-01,101.27950
2019-04-01,101.15290
2019-05-01,100.97210
2019-06-01,100.77320
2019-07-01,100.61230
2019-08-01,100.46970
2019-09-01,100.34440
2019-10-01,100.29250
2019-11-01,100.29380
2019-12-01,100.29130
2020-01-01,100.17170
2020-02-01,99.84236
2020-03-01,99.20880
2020-04-01,98.47198
2020-05-01,98.17271
2020-06-01,98.44227
2020-07-01,98.85220
2020-08-01,99.17943
2020-09-01,99.45694
2020-10-01,99.73104
2020-11-01,99.91125
2020-12-01,100.07570
2021-01-01,100.32450
2021-02-01,100.72600
2021-03-01,101.33520
2021-04-01,101.96780
2021-05-01,102.26930
2021-06-01,102.31030
2021-07-01,102.33950
2021-08-01,102.43000
2021-09-01,102.56200
2021-10-01,102.63010
2021-11-01,102.69830
2021-12-01,102.77460
2022-01-01,102.81630
2022-02-01,102.78320
2022-03-01,102.66290
2022-04-01,102.54740
2022-05-01,102.49850
2022-06-01,102.44150
2022-07-01,102.23660
2022-08-01,101.86600
2022-09-01,101.45650
2022-10-01,101.18710
2022-11-01,101.01730
2022-12-01,100.90200
2023-01-01,100.70940
2023-02-01,100.42640
2023-03-01,100.11300
2023-04-01,99.78182
2023-05-01,99.52905
2023-06-01,99.38272
2023-07-01,99.21001
2023-08-01,99.06316
2023-09-01,98.88866
2023-10-01,98.78536
2023-11-01,98.90984
2023-12-01,99.05991
