observation_date,MABMM301NZM657S
2017-09-01,0.4241013032
2017-10-01,0.8406863921
2017-11-01,0.8742058924
2017-12-01,0.5818092203
2018-01-01,0.5632324183
2018-02-01,0.3798617380
2018-03-01,0.3486738958
2018-04-01,0.3793089286
2018-05-01,0.3411444283
2018-06-01,0.6457559048
2018-07-01,0.7729345046
2018-08-01,0.8419768380
2018-09-01,0.8191156592
2018-10-01,0.3657031092
2018-11-01,0.2733457336
2018-12-01,0.4995427371
