,USD,JPY,CAD,AUD,GBP,EUR,CHF,NZD
1989-02-01 00:00:00+00:00,76.20226,69.44389,76.2,72.02121,77.81062,,,73.22962
1989-03-01 00:00:00+00:00,76.48798,69.36452,76.4,72.20406,78.04777,,,72.83683
1989-04-01 00:00:00+00:00,76.28491,69.53837,76.5,72.42294,78.04777,,,72.83683
1989-05-01 00:00:00+00:00,76.29549,69.54749,76.6,72.32871,78.04777,,,72.83683
1989-06-01 00:00:00+00:00,76.42767,69.68497,76.7,72.44778,78.09973,,,72.47057
1989-07-01 00:00:00+00:00,76.41059,69.70614,76.5,72.81881,78.09973,,,72.47057
1989-08-01 00:00:00+00:00,76.72373,69.85081,76.5,72.52047,78.09973,,,72.47057
1989-09-01 00:00:00+00:00,76.70994,69.86855,76.4,72.73328,78.12897,,,72.3417
1989-10-01 00:00:00+00:00,76.7571,69.80528,76.6,72.92946,78.12897,,,72.3417
1989-11-01 00:00:00+00:00,76.62094,69.7075,76.6,73.00279,78.12897,,,72.3417
1989-12-01 00:00:00+00:00,76.70835,69.79367,76.5,72.7863,78.25775,,,72.37237
1990-01-01 00:00:00+00:00,76.95556,69.96484,76.6,73.15755,78.25775,,,72.37237
1990-02-01 00:00:00+00:00,76.74583,70.0024,76.7,73.03365,78.25775,,,72.37237
1990-03-01 00:00:00+00:00,76.65325,70.01304,76.8,73.24395,78.24039,,,72.51295
1990-04-01 00:00:00+00:00,76.62063,70.1586,76.8,73.33531,78.24039,,,72.51295
1990-05-01 00:00:00+00:00,76.59042,70.19533,76.3,73.26668,78.24039,,,72.51295
1990-06-01 00:00:00+00:00,76.55183,70.13893,76.6,73.30682,78.30446,,,73.32674
1990-07-01 00:00:00+00:00,76.67908,70.36242,76.5,73.61256,78.30446,,,73.32674
1990-08-01 00:00:00+00:00,76.54397,70.29036,76.5,73.61514,78.30446,,,73.32674
1990-09-01 00:00:00+00:00,76.57413,70.36813,76.6,74.01034,78.28313,,,72.93771
1990-10-01 00:00:00+00:00,76.50902,70.17418,76.6,73.7085,78.28313,,,72.93771
1990-11-01 00:00:00+00:00,76.473,70.5403,76.8,73.52077,78.28313,,,72.93771
1990-12-01 00:00:00+00:00,76.47069,70.69245,76.8,73.44822,78.16586,,,73.13366
1991-01-01 00:00:00+00:00,76.36747,70.57351,76.5,73.49704,78.16586,,,73.13366
1991-02-01 00:00:00+00:00,76.46686,70.56512,76.5,73.54377,78.16586,,,73.13366
1991-03-01 00:00:00+00:00,76.27014,70.71072,76.4,73.0868,77.97557,,,73.1505
1991-04-01 00:00:00+00:00,76.32015,70.74899,76.4,73.27197,77.97557,,,73.1505
1991-05-01 00:00:00+00:00,76.3325,70.95815,76.5,73.17003,77.97557,,,73.1505
1991-06-01 00:00:00+00:00,76.44554,70.90078,76.4,73.67177,77.76708,,,73.31856
1991-07-01 00:00:00+00:00,76.21776,70.90076,76.3,73.23203,77.76708,,,73.31856
1991-08-01 00:00:00+00:00,76.35358,71.05545,76.4,72.94548,77.76708,,,73.31856
