time,innov_21d
2013-11-07 00:00:00+00:00,-0.0006005578141767684
2013-11-08 00:00:00+00:00,-0.0006002574035657211
2013-11-11 00:00:00+00:00,-0.0005855498151462941
2013-11-12 00:00:00+00:00,-0.00032646007092115284
2013-11-13 00:00:00+00:00,-0.00032411840555138715
2013-11-14 00:00:00+00:00,-0.00023754573056771746
2013-11-15 00:00:00+00:00,-4.776015207210013e-05
2013-11-18 00:00:00+00:00,1.3430240950676985e-05
2013-11-19 00:00:00+00:00,-0.0001547423161481704
2013-11-20 00:00:00+00:00,-0.00017211932627144008
2013-11-21 00:00:00+00:00,-1.412182686135648e-05
2013-11-22 00:00:00+00:00,8.775536942148745e-05
2013-11-25 00:00:00+00:00,9.423980159832014e-05
2013-11-26 00:00:00+00:00,0.00019136440870454576
2013-11-27 00:00:00+00:00,0.00025398636098191915
2013-11-28 00:00:00+00:00,0.00034576291206374994
2013-11-29 00:00:00+00:00,0.000291864378781515
2013-12-02 00:00:00+00:00,0.0003538988481576102
2013-12-03 00:00:00+00:00,0.00028377749226538625
2013-12-04 00:00:00+00:00,0.00021859102647692804
2013-12-05 00:00:00+00:00,0.00023488300645527682
2013-12-06 00:00:00+00:00,0.00020933563538409706
2013-12-09 00:00:00+00:00,0.00027889809093947
2013-12-10 00:00:00+00:00,0.00020920648763408977
2013-12-11 00:00:00+00:00,3.6790025710160216e-05
2013-12-12 00:00:00+00:00,9.71136766688141e-05
2013-12-13 00:00:00+00:00,9.034126159725283e-05
2013-12-16 00:00:00+00:00,5.541688069953801e-05
2013-12-17 00:00:00+00:00,4.727501221512805e-05
2013-12-18 00:00:00+00:00,-0.00010756136619928568
2013-12-19 00:00:00+00:00,-8.655685420860077e-05
2013-12-20 00:00:00+00:00,0.00010881721263110303
2013-12-23 00:00:00+00:00,-0.0001315183696216477
2013-12-24 00:00:00+00:00,-0.0002475395318208627
2013-12-25 00:00:00+00:00,-0.0003868199066958469
2013-12-26 00:00:00+00:00,-0.0004615551783722096
2013-12-27 00:00:00+00:00,-0.0005921547026634696
2013-12-30 00:00:00+00:00,-0.0006334507168770519
2013-12-31 00:00:00+00:00,-0.0005424564554948673
2014-01-01 00:00:00+00:00,-0.00042955880060372483
2014-01-02 00:00:00+00:00,-0.00036805475812186307
2014-01-03 00:00:00+00:00,-0.00041217613084748063
2014-01-06 00:00:00+00:00,-0.00033168999333509216
2014-01-07 00:00:00+00:00,-0.0002422556713801956
2014-01-08 00:00:00+00:00,-0.00032503253531082415
2014-01-09 00:00:00+00:00,-0.00024333702419702258
2014-01-10 00:00:00+00:00,-0.00025198418628330195
2014-01-13 00:00:00+00:00,-0.00031513521007459425
2014-01-14 00:00:00+00:00,-0.0002834270929366772
2014-01-15 00:00:00+00:00,-0.00021971481411971498
2014-01-16 00:00:00+00:00,-8.024263247386572e-05
2014-01-17 00:00:00+00:00,4.867557117347763e-05
2014-01-20 00:00:00+00:00,-0.00020676130618731093
2014-01-21 00:00:00+00:00,-3.123980338606922e-05
2014-01-22 00:00:00+00:00,-5.794233505005764e-05
2014-01-23 00:00:00+00:00,-8.832727377230173e-05
2014-01-24 00:00:00+00:00,5.188260067037504e-05
2014-01-27 00:00:00+00:00,0.0003467088523147364
2014-01-28 00:00:00+00:00,0.0004847543245974414
2014-01-29 00:00:00+00:00,0.00043831226560844556
2014-01-30 00:00:00+00:00,0.00034560953391626296
2014-01-31 00:00:00+00:00,0.00034867388659775385
2014-02-03 00:00:00+00:00,0.0005003224476810512
2014-02-04 00:00:00+00:00,0.0004809859001965798
2014-02-05 00:00:00+00:00,0.00038009928339578043
2014-02-06 00:00:00+00:00,0.0006398197830790064
2014-02-07 00:00:00+00:00,0.0004640475885921273
2014-02-10 00:00:00+00:00,0.0004138421737358367
2014-02-11 00:00:00+00:00,0.0004296691764157823
2014-02-12 00:00:00+00:00,0.00020242440198337593
2014-02-13 00:00:00+00:00,0.00018380739469380262
2014-02-14 00:00:00+00:00,0.00014640955474670356
2014-02-17 00:00:00+00:00,0.000138656216971322
2014-02-18 00:00:00+00:00,0.00016083265966959333
