add_set,extras,clock,h4_share,max_k,recycle_cap,vt,n_legs,mean_mo,pct_pos,top3,gates,p2t,score
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,4.0,1.0,0.0025,7,0.011941627369467073,0.7272727272727273,0.5756730330904746,True,0.06937277339204642,0.12827991005830708
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,4.0,1.0,,7,0.004754209393064207,0.7272727272727273,0.5635293423497519,True,0.031222141476499654,0.056405730294278436
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,4.0,1.5,0.0025,7,0.01542350211452357,0.8181818181818182,0.6103429484688123,True,0.06917834297245368,0.16681667617682158
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,4.0,1.5,,7,0.007167437481426786,0.7272727272727273,0.5650668949261936,True,0.04551098566439464,0.08053801117790423
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,4.0,2.0,0.0025,7,0.01637923233259571,0.6363636363636364,0.6419406614567703,True,0.06518032727487064,0.16475525222759727
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,4.0,2.0,,7,0.01035146192664247,0.7272727272727273,0.5763507043490259,True,0.05257866956435522,0.11237825563006107
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,,1.0,0.0025,8,0.01153181452504755,0.8181818181818182,0.6113334414199163,True,0.05464800769881458,0.1278205608459731
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,,1.0,,8,0.004239182085875229,0.8181818181818182,0.6127588900168458,True,0.021468536211255926,0.05478020056649553
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,,1.5,0.0025,8,0.018493952684477198,0.8181818181818182,0.5517332331381959,True,0.06586682338750116,0.1983486177538629
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,,1.5,,8,0.007326212846835111,0.8181818181818182,0.5327840786742057,True,0.03347026825475836,0.08667121937744203
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,,2.0,0.0025,8,0.02178781522467064,0.8181818181818182,0.5826763068193461,True,0.062314539615860594,0.23128724315579727
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,,2.0,,8,0.01002547228958638,0.8181818181818182,0.5382498999815084,True,0.03732241916354229,0.1136638138049547
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,2.0,1.0,0.0025,8,0.010155741760972357,0.7272727272727273,0.5432646220256379,True,0.04745078830308378,0.11042105397335994
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,2.0,1.0,,8,0.003463791944444047,0.7272727272727273,0.5372282438560945,True,0.016024176838252153,0.04350155580807684
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,2.0,1.5,0.0025,8,0.012304562041159312,0.7272727272727273,0.5476937975384305,True,0.06554965783793905,0.13190925677522947
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,2.0,1.5,,8,0.005183797752088629,0.7272727272727273,0.5381040200233635,True,0.02395872155495702,0.06070161388452265
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,2.0,2.0,0.0025,8,0.014377136420846471,0.7272727272727273,0.5650332686650243,True,0.06822044417530991,0.15263500057210105
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,2.0,2.0,,8,0.00689580429093512,0.7272727272727273,0.5389828817344856,True,0.031841885107131554,0.07782167927298757
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,3.0,1.0,0.0025,8,0.014913195180415945,0.8181818181818182,0.5969433372140045,True,0.042252047381078565,0.16254104271325034
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,3.0,1.0,,8,0.005149691944969201,0.8181818181818182,0.5799135020701235,True,0.014952426383531035,0.06490601035878292
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,3.0,1.5,0.0025,8,0.019455726984782273,0.8181818181818182,0.6108812646126698,True,0.04669103719214295,0.20709585958790006
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,3.0,1.5,,8,0.007719680406100352,0.8181818181818182,0.5812008006501129,True,0.022381550112823494,0.09060589497009443
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,3.0,2.0,0.0025,8,0.021519895656941155,0.8181818181818182,0.6167497284518553,True,0.04690257274329434,0.227268069202354
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,3.0,2.0,,8,0.010181195483905614,0.8181818181818182,0.584630097703762,True,0.029517934050970748,0.11522104574814705
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,4.0,1.0,0.0025,8,0.014046241713278718,0.8181818181818182,0.5310036744043038,True,0.05259625540375448,0.15387150804187807
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,4.0,1.0,,8,0.005015607879247375,0.8181818181818182,0.5166817364470111,True,0.020000880502684986,0.06356516970156466
corr0.4_n3,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion', 'EURAUD|H4|breakout_donchian']",oos_sharpe,,4.0,1.5,0.0025,8,0.018620826159344493,0.8181818181818182,0.5351257875891668,True,0.05701444094828997,0.19961735250253582
