time,dollar_beta_xs,dollar_beta_xs_36m,dollar_beta_afd,dollar_rx_tsmom,dollar_ew
2014-12-11 00:00:00+00:00,0.003950518619859289,0.003950518619859289,0.003950518619859289,-0.004738672586667888,0.0017782208182274947
2014-12-12 00:00:00+00:00,-0.0031037332745530166,-0.0031037332745530166,-0.0031037332745530166,0.0045665488749721305,-0.0011861627371717298
2014-12-15 00:00:00+00:00,-0.002110394496531054,-0.002110394496531054,-0.002110394496531054,-4.481795249717494e-05,-0.0015940003605225842
2014-12-16 00:00:00+00:00,0.000880673490722933,0.000880673490722933,0.000880673490722933,0.002530522631221348,0.0012931357758475368
2014-12-17 00:00:00+00:00,0.00020806437242865128,0.00020806437242865128,0.00020806437242865128,-0.0037983662300440525,-0.0007935432781895247
2014-12-18 00:00:00+00:00,-0.003337832518592987,-0.003337832518592987,-0.003337832518592987,0.009076016645607341,-0.0002343702275429049
2014-12-19 00:00:00+00:00,0.002525241081563545,0.002525241081563545,0.002525241081563545,-0.0023800800661950717,0.001298910794623891
2014-12-22 00:00:00+00:00,-0.0009605966435802527,-0.0009605966435802527,-0.0009605966435802527,0.003075837862887755,4.851198303674922e-05
2014-12-23 00:00:00+00:00,-0.0008323787725878773,-0.0008323787725878773,-0.0008323787725878773,0.0018301730782649247,-0.00016674080987467678
2014-12-24 00:00:00+00:00,0.00019772795239719754,0.00019772795239719754,0.00019772795239719754,0.0016529506753782475,0.00056153363314246
2014-12-25 00:00:00+00:00,0.00014093208198490137,0.00014093208198490137,0.00014093208198490137,-0.0012969002841576316,-0.00021852600955073187
2014-12-26 00:00:00+00:00,-8.760487252718052e-05,-8.760487252718052e-05,-8.760487252718052e-05,-0.0002694380658653556,-0.0001330631708617243
2014-12-29 00:00:00+00:00,0.0007661430664979707,0.0007661430664979707,0.0007661430664979707,0.0008466142348623987,0.0007862608585890777
2014-12-30 00:00:00+00:00,0.0023449410668694715,0.0023449410668694715,0.0023449410668694715,-0.00016216077364490062,0.0017181656067408785
2014-12-31 00:00:00+00:00,0.002241739031022816,0.002241739031022816,0.002241739031022816,-0.0029468958936641476,0.0009445802998510749
2015-01-01 00:00:00+00:00,-0.0016711663741839078,-0.0013441582760653297,-0.0016711663741839078,0.0024073115219998154,-0.0005697948756083326
2015-01-02 00:00:00+00:00,-6.824602532148893e-05,-0.0001006691925000136,-6.824602532148893e-05,0.00016125074718880452,-1.8977623988546737e-05
2015-01-05 00:00:00+00:00,-0.002681314754181735,-0.0035588858790575606,-0.002681314754181735,0.012511360286540079,0.0008974612247797621
2015-01-06 00:00:00+00:00,0.0025435986903463714,0.001345572745171858,0.0025435986903463714,-0.0012470933567002257,0.0012964191922910937
2015-01-07 00:00:00+00:00,0.0029152701204099574,0.002644667484899804,0.0029152701204099574,0.0030453929563917397,0.0028801501705278646
2015-01-08 00:00:00+00:00,0.0010991772105577446,0.00020613452493772888,0.0010991772105577446,0.000682082257289242,0.0007716428008356151
2015-01-09 00:00:00+00:00,0.002888573879099937,0.0027524548253952674,0.002888573879099937,-0.00019055864589892892,0.0020847609844240533
