,USD,EUR,GBP,JPY,CAD,CHF,AUD,NZD
1993-01-01 00:00:00+00:00,1.4592274587,,,-1.0781669204643296,3.3783783721,,2.2801302931596545,4.071561029038451
1993-02-01 00:00:00+00:00,1.6379310442,,,-1.1680140927507576,3.722504228,,2.2801302931596545,4.071561029038451
1993-03-01 00:00:00+00:00,2.1570319259,,,-1.0801078131206565,5.2721088445,,2.439024390243927,3.7804877165668493
1993-04-01 00:00:00+00:00,2.2355975955,,,-0.9909908800287304,4.2087541968,,2.439024390243927,3.7804877165668493
1993-05-01 00:00:00+00:00,2.4914089258,,,-1.261260886762916,4.3697478892,,2.439024390243927,3.7804877165668493
1993-06-01 00:00:00+00:00,2.3952095867,,,-1.2635375287389006,4.3771043672,,2.1001615508885907,3.6253773864484584
1993-07-01 00:00:00+00:00,1.870748297,,,-1.5342962438743224,3.5117056815,,2.1001615508885907,3.6253773864484584
1993-08-01 00:00:00+00:00,1.3570822628,,,-1.5356822373194579,2.8333333366,,2.1001615508885907,3.6253773864484584
1993-09-01 00:00:00+00:00,1.2733446403,,,-1.7163505340262897,2.8286189716,,1.5974440894568342,3.283582461447998
1993-10-01 00:00:00+00:00,0.8503401336,,,-1.8083182112358043,3.4883720887,,1.5974440894568342,3.283582461447998
1993-11-01 00:00:00+00:00,0.6802721037,,,-1.9909508537377163,3.1404958752,,1.5974440894568342,3.283582461447998
1993-12-01 00:00:00+00:00,0.9298393903,,,-2.085221814795546,3.1198686289,,1.4331210191082633,2.78601040156663
1994-01-01 00:00:00+00:00,0.9306260564,,,-1.9981832471384409,2.941176476,,1.4331210191082633,2.78601040156663
1994-02-01 00:00:00+00:00,0.7633587748,,,-2.0909087778347657,3.4257748737,,1.4331210191082633,2.78601040156663
1994-03-01 00:00:00+00:00,0.7601351314,,,-2.001819609824562,2.7463651084,,0.4761904761904079,1.7038780901142747
1994-04-01 00:00:00+00:00,0.7569386001,,,-2.183803053645139,3.8772213268,,0.4761904761904079,1.7038780901142747
1994-05-01 00:00:00+00:00,0.5029337883,,,-2.189781477159769,4.0257648993,,0.4761904761904079,1.7038780901142747
1994-06-01 00:00:00+00:00,0.3341687605,,,-2.193784730047721,4.6774193668,,0.9493670886076444,-5.387390532554736
1994-07-01 00:00:00+00:00,0.5008347169,,,-1.9248394611006803,5.4927302168,,0.9493670886076444,-5.387390532554736
1994-08-01 00:00:00+00:00,0.7531380716,,,-1.8348623373744766,6.9692058282,,0.9493670886076444,-5.387390532554736
1994-09-01 00:00:00+00:00,1.3411567532,,,-1.7463235679108458,7.2815533954,,0.6289308176101516,-6.473042655146877
1994-10-01 00:00:00+00:00,2.4451939361,,,-1.7495396302635413,7.5441412537,,0.6289308176101516,-6.473042655146877
1994-11-01 00:00:00+00:00,2.2804054098,,,-1.569713107262416,6.8910256347,,0.6289308176101516,-6.473042655146877
1994-12-01 00:00:00+00:00,1.7587939819,,,-1.2962959104712346,7.0063694379,,1.2558869701726705,-6.888180597084692
1995-01-01 00:00:00+00:00,2.1793797181,,,-1.2974972956829145,7.9365079292,,1.2558869701726705,-6.888180597084692
1995-02-01 00:00:00+00:00,2.4410774323,,,-1.0213554995895269,8.2018927564,,1.2558869701726705,-6.888180597084692
1995-03-01 00:00:00+00:00,2.7661358045,,,-0.649953820300242,10.3773584996,,3.4755134281200917,-6.9498519899369064
1995-04-01 00:00:00+00:00,2.7545909816,,,-0.4651167062849515,9.4867807149,,3.4755134281200917,-6.9498519899369064
1995-05-01 00:00:00+00:00,2.9190992486,,,-0.27513258403378815,9.5975232207,,3.4755134281200917,-6.9498519899369064
1995-06-01 00:00:00+00:00,3.3305578586,,,-0.26619343389541195,8.6286594653,,3.918495297805613,-1.1245782898334333
1995-07-01 00:00:00+00:00,3.4053156219,,,-0.4436557231590088,7.963246551,,3.918495297805613,-1.1245782898334333
1995-08-01 00:00:00+00:00,3.3222591422,,,-0.5323868677908128,7.5757575831,,3.918495297805613,-1.1245782898334333
1995-09-01 00:00:00+00:00,2.8949545071,,,-0.616967909307764,7.5414781224,,4.062499999999947,-0.39820953035535345
1995-10-01 00:00:00+00:00,2.3868312671,,,-0.697624988834511,6.2686567088,,4.062499999999947,-0.39820953035535345
1995-11-01 00:00:00+00:00,2.6424442563,,,-0.6935349763428245,7.1964018028,,4.062499999999947,-0.39820953035535345
1995-12-01 00:00:00+00:00,2.962962948,,,-0.7825990705335739,5.9523809409,,3.2558139534882624,0.22916456111277128
1996-01-01 00:00:00+00:00,2.6251025386,,,-0.77858500545116,4.8529411809,,3.2558139534882624,0.22916456111277128
1996-02-01 00:00:00+00:00,2.9580936737,,,-0.9607272589168936,4.2274052446,,3.2558139534882624,0.22916456111277128
1996-03-01 00:00:00+00:00,2.6101141878,0.6055543915,,-1.41969831410792,1.7094017035,,2.1374045801525465,-0.028718545605599388
1996-04-01 00:00:00+00:00,2.1121039835,0.5001562901,,-1.597160603371528,1.4204545495,,2.1374045801525465,-0.028718545605599388
1996-05-01 00:00:00+00:00,2.1069692087,0.4063769713,,-1.8650088809945342,0.1412429396,,2.1374045801525465,-0.028718545605599388
1996-06-01 00:00:00+00:00,2.1756647907,0.3012674109,,-1.8683274021350837,0.4255319201,,0.6033182503770051,0.10317864279978384
1996-07-01 00:00:00+00:00,2.3293172757,0.1973820955,,-1.8716577540105583,1.4184397204,,0.6033182503770051,0.10317864279978384
1996-08-01 00:00:00+00:00,2.1704180106,0.0,,-2.2301516503122287,0.0,,0.6033182503770051,0.10317864279978384
1996-09-01 00:00:00+00:00,2.1704180106,-0.1037774937,,-2.2341376228775744,-0.4207573553,,0.0,-0.43220568753860045
1996-10-01 00:00:00+00:00,2.4115755706,-0.3935784674,,-2.150537634408567,0.4213483198,,0.0,-0.43220568753860045
1996-11-01 00:00:00+00:00,2.5744167293,-0.1967892457,,-2.2421524663677195,0.1398601416,,0.0,-0.43220568753860045
1996-12-01 00:00:00+00:00,2.4780175952,0.1036806683,,-2.2441651705565446,0.1404494399,,0.45045045045040144,-0.9065893982868833
1997-01-01 00:00:00+00:00,2.3181454904,0.1973820955,,-2.066486972148185,-0.1402524561,,0.45045045045040144,-0.9065893982868833
1997-02-01 00:00:00+00:00,2.154828416,0.3012674109,,-1.888489208633859,0.0,,0.45045045045040144,-0.9065893982868833
1997-03-01 00:00:00+00:00,1.8282988862,0.3943545147,,-1.890189018902655,0.0,,0.5979073243647992,-0.8466332835027179
1997-04-01 00:00:00+00:00,1.7501988841,0.4043545786,,-1.7132551848519029,0.0,,0.5979073243647992,-0.8466332835027179
1997-05-01 00:00:00+00:00,1.4285714214,0.3943545147,,-1.3574660633489666,0.8462623384,,0.5979073243647992,-0.8466332835027179
1997-06-01 00:00:00+00:00,0.7097791763,0.4039357753,,0.5439709882141708,1.836158188,,0.8995502248875908,-0.16689284940365479
1997-07-01 00:00:00+00:00,0.1569858592,0.7983411108,,0.6357856494098924,0.6993006947,,0.8995502248875908,-0.16689284940365479
1997-08-01 00:00:00+00:00,0.0786782074,0.9962640168,,0.8211678832120262,0.9859154917,,0.8995502248875908,-0.16689284940365479
1997-09-01 00:00:00+00:00,-0.1573564147,1.2050696073,,0.9140767824501017,0.7042253475,,1.6516516516517532,-1.6125376510370715
1997-10-01 00:00:00+00:00,0.0,1.4973484436,,0.8241758241761543,0.6993006947,,1.6516516516517532,-1.6125376510370715
1997-11-01 00:00:00+00:00,-0.156862733,1.4009962736,,0.8256880733948258,0.2793296123,,1.6516516516517532,-1.6125376510370715
1997-12-01 00:00:00+00:00,-0.4680187281,1.2014500179,,0.7346189164364691,0.5610098245,,1.9431988041854087,-0.7732535414330055
1998-01-01 00:00:00+00:00,-0.3906250061,1.3063763576,,0.5504587155965579,1.2640449461,,1.9431988041854087,-0.7732535414330055
1998-02-01 00:00:00+00:00,-0.7812499977,1.0978767351,,0.2749770852430222,0.6993006947,,1.9431988041854087,-0.7732535414330055
1998-03-01 00:00:00+00:00,-1.3270882186,1.0026876151,,0.27522935779826785,0.8403361316,,0.8915304606241126,-0.713188903613815
1998-04-01 00:00:00+00:00,-1.4073494848,0.7951259824,,0.0,0.7002801075,,0.8915304606241126,-0.713188903613815
1998-05-01 00:00:00+00:00,-1.4866979598,0.899317753,,-0.36697247706343195,-0.6993006947,,0.8915304606241126,-0.713188903613815
1998-06-01 00:00:00+00:00,-1.1746280238,0.6911491611,,-2.3444544634806386,-0.5547850146,,1.33729569093608,-0.23089465581475066
1998-07-01 00:00:00+00:00,-0.9404388717,0.2982925304,,-2.5270758122744708,-0.4166666587,,1.33729569093608,-0.23089465581475066
1998-08-01 00:00:00+00:00,-0.7861635197,0.1027538066,,-2.3529411764706243,0.1394700156,,1.33729569093608,-0.23089465581475066
1998-09-01 00:00:00+00:00,-0.5516154392,0.0,,-2.4456521739131154,0.8391608363,,0.886262924667558,1.9522285078887203
1998-10-01 00:00:00+00:00,-1.0989011015,-0.4917528856,,-2.270663033605813,0.6944444529,,0.886262924667558,1.9522285078887203
1998-11-01 00:00:00+00:00,-1.0997643388,-0.6959369571,,-2.2747952684258443,0.4178272901,,0.886262924667558,1.9522285078887203
1998-12-01 00:00:00+00:00,-0.9404388717,-0.9927335982,,-2.3701002734731524,1.3947001303,,-0.4398826979471693,0.9739147300960926
1999-01-01 00:00:00+00:00,-1.0196078301,-1.0848429019,,-2.4635036496351126,0.8321775284,,-0.4398826979471693,0.9739147300960926
1999-02-01 00:00:00+00:00,-0.8661417312,-1.2806065,,-2.3765996343693363,0.1388888906,,-0.4398826979471693,0.9739147300960926
1999-03-01 00:00:00+00:00,-0.1582278359,-1.5760925214,,-2.7447392497705225,0.1388888906,,-0.7363770250368606,0.5077607777611348
1999-04-01 00:00:00+00:00,-0.1586042848,-1.5777071931,,-2.6605504587148276,-0.2781641072,,-0.7363770250368606,0.5077607777611348
1999-05-01 00:00:00+00:00,0.3177124604,-1.4752586807,,-2.4861878453039443,2.1126760556,,-0.7363770250368606,0.5077607777611348
1999-06-01 00:00:00+00:00,0.9508716324,-1.0859542955,,-2.400738688827364,1.1157601121,,-0.8797653958943052,-0.015370443118345456
1999-07-01 00:00:00+00:00,1.0284810141,-1.0870679924,,-2.037037037036915,1.2552301146,,-0.8797653958943052,-0.015370443118345456
1999-08-01 00:00:00+00:00,1.2678288335,-0.790392118,,-2.0389249304910706,1.2534818833,,-0.8797653958943052,-0.015370443118345456
1999-09-01 00:00:00+00:00,1.6640253531,-0.4927119721,,-1.764159702878132,2.3578363412,,1.0248901903367802,1.0861084743601257
1999-10-01 00:00:00+00:00,2.3809523739,0.0,,-1.6728624535313208,1.9310344804,,1.0248901903367802,1.0861084743601257
1999-11-01 00:00:00+00:00,3.01826847,0.4019375478,,-1.4897579143385742,3.0513176127,,1.0248901903367802,1.0861084743601257
1999-12-01 00:00:00+00:00,3.0063291171,0.899317753,,-1.0270774976651964,2.2008253107,,3.092783505154695,3.434264826690847
2000-01-01 00:00:00+00:00,3.2488114023,1.1898603208,,-0.8419083255372772,2.3383768942,,3.092783505154695,3.434264826690847
2000-02-01 00:00:00+00:00,3.6536934056,1.6915732825,,-0.842696629212869,3.7447988972,,3.092783505154695,3.434264826690847
2000-03-01 00:00:00+00:00,3.6450079219,2.5267754948,,0.0,3.7447988972,,5.6379821958457255,5.902941679235751
2000-04-01 00:00:00+00:00,5.0039713956,2.94576871,,0.09425070688033887,5.2998605291,,5.6379821958457255,5.902941679235751
2000-05-01 00:00:00+00:00,5.2256532153,3.0466881489,,0.1888574126535092,4.9655172371,,5.6379821958457255,5.902941679235751
2000-06-01 00:00:00+00:00,4.0816326438,2.8482651506,,0.09460737937563302,4.9655172371,,7.39644970414195,7.479472620988825
2000-07-01 00:00:00+00:00,4.2286609323,3.3696215562,,-0.18903591682428722,5.2341597922,,7.39644970414195,7.479472620988825
2000-08-01 00:00:00+00:00,5.0078247321,3.3626487353,,-0.09460737937563302,5.089408539,,7.39644970414195,7.479472620988825
2000-09-01 00:00:00+00:00,4.364770066,3.3629048845,,-0.37807183364855224,3.5230352352,,7.246376811594302,9.52951966803246
2000-10-01 00:00:00+00:00,3.4883720902,3.3666220517,,-0.47258979206069585,3.3829499355,,7.246376811594302,9.52951966803246
2000-11-01 00:00:00+00:00,3.8550501042,3.6748100936,,-0.6616257088849609,3.2301480501,,7.246376811594302,9.52951966803246
2000-12-01 00:00:00+00:00,3.6098310288,3.5754533393,,-0.9433962264154716,4.1722745632,,8.28571428571423,11.117436865073472
2001-01-01 00:00:00+00:00,3.5303146568,3.3742331279,,-1.037735849057031,4.7043010824,,8.28571428571423,11.117436865073472
2001-02-01 00:00:00+00:00,2.9118773975,2.8676395585,,-1.2275731822478986,3.6096256622,,8.28571428571423,11.117436865073472
2001-03-01 00:00:00+00:00,3.0581039665,2.2312373418,,-1.9755409219198938,3.0748663099,,5.196629213483184,8.946821099501378
2001-04-01 00:00:00+00:00,1.9667170982,2.123356917,,-1.9774011299443006,2.6490066175,,5.196629213483184,8.946821099501378
2001-05-01 00:00:00+00:00,1.2039127212,2.1190716477,,-1.9792648444871386,2.2339027621,,5.196629213483184,8.946821099501378
2001-06-01 00:00:00+00:00,2.2624434464,2.1148036161,,-2.079395085066049,2.7595269349,,5.647382920110178,8.516324768951367
2001-07-01 00:00:00+00:00,2.5544703211,1.9057171451,,-2.1780303030302206,2.7486910961,,5.647382920110178,8.516324768951367
2001-08-01 00:00:00+00:00,1.1922503636,1.7017016861,,-2.367424242424232,1.4397905689,,5.647382920110178,8.516324768951367
2001-09-01 00:00:00+00:00,0.3734130006,1.0978044064,,-2.6565464895636826,0.6544502575,,2.4324324324323854,4.61448534016724
2001-10-01 00:00:00+00:00,0.8239700365,0.796812739,,-2.75403608736956,0.6544502575,,2.4324324324323854,4.61448534016724
2001-11-01 00:00:00+00:00,0.6681514582,0.2970297165,,-2.8544243577545148,1.0430247724,,2.4324324324323854,4.61448534016724
2001-12-01 00:00:00+00:00,-0.8895478134,-0.0989119728,,-3.2380952380952066,-1.2919896557,,-0.6596306068602176,0.40438006129093207
