Date,OIL_ME_VS_NON
2007-11-17 00:00:00+00:00,-38.89999999999999
2007-11-18 00:00:00+00:00,-30.099999999999994
2007-11-19 00:00:00+00:00,37.339999999999996
2007-11-20 00:00:00+00:00,152.79
2007-11-21 00:00:00+00:00,-77.35
2007-11-22 00:00:00+00:00,-66.67
2007-11-23 00:00:00+00:00,-39.37
2007-11-24 00:00:00+00:00,51.67999999999999
2007-11-25 00:00:00+00:00,-51.89
2007-11-26 00:00:00+00:00,56.550000000000004
2007-11-27 00:00:00+00:00,115.53
2007-11-28 00:00:00+00:00,45.97
2007-11-29 00:00:00+00:00,-117.18
2007-11-30 00:00:00+00:00,79.76000000000002
2007-12-01 00:00:00+00:00,6.079999999999998
2007-12-02 00:00:00+00:00,-109.64
2007-12-03 00:00:00+00:00,-30.63
2007-12-04 00:00:00+00:00,1.0600000000000023
2007-12-05 00:00:00+00:00,-87.25
2007-12-06 00:00:00+00:00,12.219999999999999
2007-12-07 00:00:00+00:00,30.310000000000002
2007-12-08 00:00:00+00:00,-70.65
2007-12-09 00:00:00+00:00,82.99
2007-12-10 00:00:00+00:00,65.72999999999999
2007-12-11 00:00:00+00:00,-17.89
2007-12-12 00:00:00+00:00,-5.209999999999994
2007-12-13 00:00:00+00:00,76.85
2007-12-14 00:00:00+00:00,80.91
2007-12-15 00:00:00+00:00,158.69
2007-12-16 00:00:00+00:00,-89.01
2007-12-17 00:00:00+00:00,-64.22
2007-12-18 00:00:00+00:00,-41.72
2007-12-19 00:00:00+00:00,159.07
2007-12-20 00:00:00+00:00,115.80999999999999
2007-12-21 00:00:00+00:00,-44.26
2007-12-22 00:00:00+00:00,-23.61
2007-12-23 00:00:00+00:00,-34.84
2007-12-24 00:00:00+00:00,-25.97
2007-12-25 00:00:00+00:00,89.53999999999999
2007-12-26 00:00:00+00:00,-117.04
2007-12-27 00:00:00+00:00,180.22000000000003
2007-12-28 00:00:00+00:00,1.5400000000000063
2007-12-29 00:00:00+00:00,128.18
2007-12-30 00:00:00+00:00,188.16000000000003
2007-12-31 00:00:00+00:00,81.88
2008-01-01 00:00:00+00:00,-16.89
2008-01-02 00:00:00+00:00,-109.13
2008-01-03 00:00:00+00:00,-51.75000000000001
2008-01-04 00:00:00+00:00,-29.36
2008-01-05 00:00:00+00:00,-77.55
2008-01-06 00:00:00+00:00,-61.92999999999999
2008-01-07 00:00:00+00:00,-22.07
2008-01-08 00:00:00+00:00,-54.910000000000004
2008-01-09 00:00:00+00:00,58.78999999999999
2008-01-10 00:00:00+00:00,-62.080000000000005
2008-01-11 00:00:00+00:00,-64.69
2008-01-12 00:00:00+00:00,41.4
2008-01-13 00:00:00+00:00,-93.95
2008-01-14 00:00:00+00:00,-2.4099999999999966
2008-01-15 00:00:00+00:00,163.39999999999998
2008-01-16 00:00:00+00:00,-97.4
2008-01-17 00:00:00+00:00,-58.23
2008-01-18 00:00:00+00:00,-20.86999999999999
2008-01-19 00:00:00+00:00,-81.5
2008-01-20 00:00:00+00:00,41.72
2008-01-21 00:00:00+00:00,84.25999999999999
2008-01-22 00:00:00+00:00,199.45
2008-01-23 00:00:00+00:00,89.00999999999999
2008-01-24 00:00:00+00:00,-39.44
2008-01-25 00:00:00+00:00,-39.459999999999994
2008-01-26 00:00:00+00:00,-53.25
2008-01-27 00:00:00+00:00,-72.61
2008-01-28 00:00:00+00:00,-59.64
2008-01-29 00:00:00+00:00,40.349999999999994
2008-01-30 00:00:00+00:00,-104.57
2008-01-31 00:00:00+00:00,-17.130000000000003
2008-02-01 00:00:00+00:00,-43.63
2008-02-02 00:00:00+00:00,-23.6
2008-02-03 00:00:00+00:00,-104.57
2008-02-04 00:00:00+00:00,-32.26
2008-02-05 00:00:00+00:00,-114.55
2008-02-06 00:00:00+00:00,-96.02
2008-02-07 00:00:00+00:00,-55.459999999999994
2008-02-08 00:00:00+00:00,46.230000000000004
2008-02-09 00:00:00+00:00,-73.44
2008-02-10 00:00:00+00:00,66.11
2008-02-11 00:00:00+00:00,0.4200000000000017
2008-02-12 00:00:00+00:00,58.66999999999999
2008-02-13 00:00:00+00:00,-114.72
2008-02-14 00:00:00+00:00,-131.18
2008-02-15 00:00:00+00:00,-51.01
2008-02-16 00:00:00+00:00,-46.38000000000001
2008-02-17 00:00:00+00:00,-98.82
2008-02-18 00:00:00+00:00,-55.6
2008-02-19 00:00:00+00:00,-100.85
2008-02-20 00:00:00+00:00,-143.34
2008-02-21 00:00:00+00:00,-103.76
2008-02-22 00:00:00+00:00,-42.55
2008-02-23 00:00:00+00:00,-80.28
2008-02-24 00:00:00+00:00,57.54999999999998
2008-02-25 00:00:00+00:00,-52.94
2008-02-26 00:00:00+00:00,-45.54999999999999
2008-02-27 00:00:00+00:00,54.959999999999994
2008-02-28 00:00:00+00:00,155.37
2008-02-29 00:00:00+00:00,-21.55
2008-03-01 00:00:00+00:00,-25.46
2008-03-02 00:00:00+00:00,-133.77
2008-03-03 00:00:00+00:00,-60.29
2008-03-04 00:00:00+00:00,-5.1299999999999955
2008-03-05 00:00:00+00:00,162.68999999999997
2008-03-06 00:00:00+00:00,-97.09
2008-03-07 00:00:00+00:00,-48.58
2008-03-08 00:00:00+00:00,-82.56
2008-03-09 00:00:00+00:00,-1.6099999999999994
2008-03-10 00:00:00+00:00,-47.73
