idea,tag,params,n_legs,score,raw_min_mo,avg_pct_pos,avg_top3,vt,chi,wm,symbols
mr_n5|equal|vt0.002|hi3.0,mr_n5,n=5|w=equal|vt=0.002|chi=3.0|mc=None,5,0.0014462886433500143,0.005077127548269641,0.7386363636363636,0.6407709726229907,0.002,3.0,equal,GBPCAD|CADJPY|AUDCAD|EURUSD|USDCHF
seed6_n8_c0.55|oos_sharpe|vt0.002|hi2.0,seed6_n8_c0.55,n=8|w=oos_sharpe|vt=0.002|chi=2.0|mc=0.55,8,0.0013551401182295168,0.004133088542749358,0.7386363636363636,0.619448710612996,0.002,2.0,oos_sharpe,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
seed6_n8_c0.55|oos_sharpe|vt0.003|hi2.0,seed6_n8_c0.55,n=8|w=oos_sharpe|vt=0.003|chi=2.0|mc=0.55,8,0.0013520527745228394,0.004130001199042782,0.7386363636363636,0.6194487106129987,0.003,2.0,oos_sharpe,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
seed6_n8_c0.55|oos_sharpe|vt0.0035|hi2.0,seed6_n8_c0.55,n=8|w=oos_sharpe|vt=0.0035|chi=2.0|mc=0.55,8,0.0013520527745228394,0.004130001199042782,0.7386363636363636,0.6194487106129987,0.0035,2.0,oos_sharpe,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
seed6_n8_c0.55|oos_sharpe|vt0.004|hi2.0,seed6_n8_c0.55,n=8|w=oos_sharpe|vt=0.004|chi=2.0|mc=0.55,8,0.0013520527745228394,0.004130001199042782,0.7386363636363636,0.6194487106129987,0.004,2.0,oos_sharpe,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
seed6_n8_c0.55|oos_sharpe|vt0.005|hi2.0,seed6_n8_c0.55,n=8|w=oos_sharpe|vt=0.005|chi=2.0|mc=0.55,8,0.0013520527745228394,0.004130001199042782,0.7386363636363636,0.6194487106129987,0.005,2.0,oos_sharpe,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
seed6_n8_c0.55|oos_sharpe|vt0.0025|hi2.0,seed6_n8_c0.55,n=8|w=oos_sharpe|vt=0.0025|chi=2.0|mc=0.55,8,0.0013520527745225904,0.004130001199042782,0.7386363636363636,0.6194487106130049,0.0025,2.0,oos_sharpe,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
lock_plus2|oos_sharpe|vt0.0025|hi2.0,lock_plus2,n=7|w=oos_sharpe|vt=0.0025|chi=2.0|mc=None,7,0.001302120446537488,0.005132683369812957,0.7386363636363636,0.6457640730818868,0.0025,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY
mr_n5|equal|vt0.0035|hi3.0,mr_n5,n=5|w=equal|vt=0.0035|chi=3.0|mc=None,5,0.0012832188005245742,0.005104201354405046,0.7386363636363636,0.6455245638470118,0.0035,3.0,equal,GBPCAD|CADJPY|AUDCAD|EURUSD|USDCHF
lock_plus2|oos_sharpe|vt0.002|hi2.0,lock_plus2,n=7|w=oos_sharpe|vt=0.002|chi=2.0|mc=None,7,0.0011370551683026345,0.005046237176375701,0.7386363636363636,0.6477295502018268,0.002,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY
smooth_n8_c0.45|oos_sharpe|vt0.004|hi3.0,smooth_n8_c0.45,n=8|w=oos_sharpe|vt=0.004|chi=3.0|mc=0.45,8,0.0009489522252570048,0.004163655680240241,0.7840909090909092,0.630367586374581,0.004,3.0,oos_sharpe,GBPCAD|CADJPY|AUDCAD|EURUSD|GBPJPY|USDCHF|NZDCAD|EURCHF
smooth_n8_c0.45|oos_sharpe|vt0.005|hi3.0,smooth_n8_c0.45,n=8|w=oos_sharpe|vt=0.005|chi=3.0|mc=0.45,8,0.0009489522252570048,0.004163655680240241,0.7840909090909092,0.630367586374581,0.005,3.0,oos_sharpe,GBPCAD|CADJPY|AUDCAD|EURUSD|GBPJPY|USDCHF|NZDCAD|EURCHF
smooth_n8_c0.45|oos_sharpe|vt0.0035|hi3.0,smooth_n8_c0.45,n=8|w=oos_sharpe|vt=0.0035|chi=3.0|mc=0.45,8,0.0009489522252569093,0.004163655680240241,0.7840909090909092,0.6303675863745833,0.0035,3.0,oos_sharpe,GBPCAD|CADJPY|AUDCAD|EURUSD|GBPJPY|USDCHF|NZDCAD|EURCHF
smooth_n8_c0.45|oos_sharpe|vt0.003|hi3.0,smooth_n8_c0.45,n=8|w=oos_sharpe|vt=0.003|chi=3.0|mc=0.45,8,0.0009189695154532057,0.00415245010945768,0.7840909090909092,0.6308370148501119,0.003,3.0,oos_sharpe,GBPCAD|CADJPY|AUDCAD|EURUSD|GBPJPY|USDCHF|NZDCAD|EURCHF
mr_n5|equal|vt0.002|hi2.0,mr_n5,n=5|w=equal|vt=0.002|chi=2.0|mc=None,5,0.000721526483154847,0.0037006173855507296,0.7386363636363636,0.624477272559897,0.002,2.0,equal,GBPCAD|CADJPY|AUDCAD|EURUSD|USDCHF
smooth_n8_c0.45|oos_sharpe|vt0.0025|hi3.0,smooth_n8_c0.45,n=8|w=oos_sharpe|vt=0.0025|chi=3.0|mc=0.45,8,0.0006739412745355761,0.004055801782832057,0.7840909090909092,0.6345465127074121,0.0025,3.0,oos_sharpe,GBPCAD|CADJPY|AUDCAD|EURUSD|GBPJPY|USDCHF|NZDCAD|EURCHF
seed3_n8_c0.55|oos_sharpe|vt0.004|hi3.0,seed3_n8_c0.55,n=8|w=oos_sharpe|vt=0.004|chi=3.0|mc=0.55,8,0.0004925273916136742,0.003896461703890938,0.7386363636363636,0.6350983578069316,0.004,3.0,oos_sharpe,GBPCAD|EURUSD|CADJPY|AUDCAD|USDCHF|GBPJPY|GBPUSD|EURCHF
seed3_n8_c0.55|oos_sharpe|vt0.0035|hi3.0,seed3_n8_c0.55,n=8|w=oos_sharpe|vt=0.0035|chi=3.0|mc=0.55,8,0.0004925273916136321,0.003896461703890938,0.7386363636363636,0.6350983578069327,0.0035,3.0,oos_sharpe,GBPCAD|EURUSD|CADJPY|AUDCAD|USDCHF|GBPJPY|GBPUSD|EURCHF
