idea,params,score,min_mean_mo,max_top3,min_pct_pos,soft_pass,hard_pass,sizing,y2024_mo,y2025_mo
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.75, ""exit_z"": 0.5, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.005, ""sizing"": ""z_vol"", ""sleeve_budget"": 1.0}",-inf,-0.0016282270849167363,1.0,0.25,False,False,z_vol,0.001739196952345176,-0.0016282270849167363
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.75, ""exit_z"": 0.5, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.0075, ""sizing"": ""z_vol"", ""sleeve_budget"": 0.55}",-inf,-0.0006464185065117589,1.0,0.36363636363636365,False,False,z_vol,0.0011916083875911164,-0.0006464185065117589
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.75, ""exit_z"": 0.5, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.0075, ""sizing"": ""z_vol"", ""sleeve_budget"": 1.0}",-inf,-0.0011549885400614496,1.0,0.36363636363636365,False,False,z_vol,0.0021836482602824903,-0.0011549885400614496
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.75, ""exit_z"": 0.5, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.01, ""sizing"": ""z_vol"", ""sleeve_budget"": 0.55}",-inf,-0.0008182407310220602,1.0,0.36363636363636365,False,False,z_vol,0.0014103143039905129,-0.0008182407310220602
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 1.75, ""exit_z"": 0.5, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.01, ""sizing"": ""z_vol"", ""sleeve_budget"": 1.0}",-inf,-0.0014551553873828754,1.0,0.36363636363636365,False,False,z_vol,0.002595261111077511,-0.0014551553873828754
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 2.0, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.005, ""sizing"": ""z_vol"", ""sleeve_budget"": 0.55}",-inf,0.00023629188265902878,0.9090591649112347,0.625,False,False,z_vol,0.0020621806468042207,0.00023629188265902878
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 2.0, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.005, ""sizing"": ""z_vol"", ""sleeve_budget"": 1.0}",-inf,0.0004410119414798852,0.9093575145755607,0.625,False,False,z_vol,0.003742742630432737,0.0004410119414798852
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 2.0, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.0075, ""sizing"": ""z_vol"", ""sleeve_budget"": 0.55}",-inf,0.0005225657456757876,0.9164069243336473,0.625,False,False,z_vol,0.003183326506521392,0.0005225657456757876
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 2.0, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.0075, ""sizing"": ""z_vol"", ""sleeve_budget"": 1.0}",-inf,0.0009761526800829562,0.9168910727510173,0.625,False,False,z_vol,0.005767958605821214,0.0009761526800829562
real_n2_z_vol,"{""betas_2024"": {""AUDUSD/NZDUSD"": 0.7150032270701753, ""EURAUD/AUDUSD"": -0.31093367860651805}, ""entry"": 2.0, ""exit_z"": 0.2, ""nested"": ""opt2024_val2025"", ""pairs"": [""EURAUD/AUDUSD:w40"", ""AUDUSD/NZDUSD:w40""], ""risk_frac"": 0.01, ""sizing"": ""z_vol"", ""sleeve_budget"": 0.55}",-inf,0.0011317915479543417,0.9110958413539894,0.625,False,False,z_vol,0.0038359874290807864,0.0011317915479543417
