,USD,EUR,GBP,CAD,JPY,AUD,NZD,CHF
1973-04-01 00:00:00+00:00,19.0869174476,8.8078967367,,0.7453315392,,,,
1973-05-01 00:00:00+00:00,14.1431142689,0.7047216396,,1.7082572343,,,,
1973-06-01 00:00:00+00:00,11.0798012695,-1.3225569504,,-1.5033796727,,,,
1973-07-01 00:00:00+00:00,10.3526182556,6.7669172945,,1.8337651992,,,,
1973-08-01 00:00:00+00:00,9.0382037448,3.5950110066,,1.6955962627,,,,
1973-09-01 00:00:00+00:00,9.8643835172,-0.6637168219,,2.2274653916,,,,
1973-10-01 00:00:00+00:00,9.0025499471,2.5036818796,,1.2567610676,,,,
1973-11-01 00:00:00+00:00,5.3101243163,2.3616236252,,3.5424979079,,,,
1973-12-01 00:00:00+00:00,1.2246648553,-2.6181818238,,6.6592856896,,,,
1974-01-01 00:00:00+00:00,-2.8621042478,-4.5718432627,,6.1612338898,,,,
1974-02-01 00:00:00+00:00,-6.254406161,-17.0014347332,,7.1930972388,,,,
1974-03-01 00:00:00+00:00,-11.0657596186,-1.4084507054,,6.8402347946,,,,
1974-04-01 00:00:00+00:00,-12.6160543562,0.3489183392,,7.1649712624,,,,
1974-05-01 00:00:00+00:00,-13.2871012861,-6.1581525604,,6.4868746749,,,,
1974-06-01 00:00:00+00:00,-13.4165928551,-3.4996276897,,3.9834351961,,,,
1974-07-01 00:00:00+00:00,-14.0296334127,-9.1549295809,,0.8573106269,,,,
1974-08-01 00:00:00+00:00,-14.5588099198,-10.6232294657,,0.2686685114,,,,
1974-09-01 00:00:00+00:00,-13.3652968116,-8.4632516695,,1.1618354719,,,,
1974-10-01 00:00:00+00:00,-13.05463989,-13.3620689605,,2.1249017849,,,,
1974-11-01 00:00:00+00:00,-12.8452589329,-11.3193943774,,2.2224817057,,,,
1974-12-01 00:00:00+00:00,-15.9885135238,-11.2023898318,,2.4412748373,,,,
1975-01-01 00:00:00+00:00,-17.7647960128,-8.7452471452,,2.4226626214,,,,
1975-02-01 00:00:00+00:00,-18.4619660016,1.987899742,,2.7085797127,,,,
1975-03-01 00:00:00+00:00,-16.5493795374,-7.3571428628,,2.8666467188,,,,
1975-04-01 00:00:00+00:00,-18.9398946192,-11.7524339375,,4.1721382283,,,,
1975-05-01 00:00:00+00:00,-22.1217631087,-18.0462341535,,0.4982766114,,,,
1975-06-01 00:00:00+00:00,-16.5011008545,-18.2870370516,,5.8486630171,,,,
1975-07-01 00:00:00+00:00,-13.2761783613,-17.6744185946,,10.3477720771,,,,
1975-08-01 00:00:00+00:00,-9.4226618734,-13.9461172798,,11.6478840145,,,,
1975-09-01 00:00:00+00:00,-10.0845060544,-10.1378751119,,12.9118329395,,6.680731363893688,,
1975-10-01 00:00:00+00:00,-8.7286196409,-10.5306799289,,15.7609322921,,6.680731363893688,,
1975-11-01 00:00:00+00:00,-4.9572527716,-10.0000000075,,16.4528043199,,6.680731363893688,,
1975-12-01 00:00:00+00:00,2.1909672067,-6.3919259972,,17.702469421,,4.057341454242569,,
1976-01-01 00:00:00+00:00,8.7884787187,-4.9166666647,,18.2454432985,,4.057341454242569,,
1976-02-01 00:00:00+00:00,13.5836874815,-1.2711864393,,19.9754856236,,4.057341454242569,,
1976-03-01 00:00:00+00:00,19.8069010201,-5.0115651481,,16.7641609072,,1.2965825128675723,,
1976-04-01 00:00:00+00:00,28.894556397,-11.4263199224,,17.1006663121,,1.2965825128675723,,
1976-05-01 00:00:00+00:00,40.268079132,-0.4549590567,,23.5824790463,,1.2965825128675723,,
1976-06-01 00:00:00+00:00,36.7834229462,10.9537299377,,21.0233991398,,8.55961156945133,,
1976-07-01 00:00:00+00:00,35.6881330416,9.9811675927,,18.9588462971,,8.55961156945133,,
1976-08-01 00:00:00+00:00,35.3626813971,8.0110497366,,20.9995058819,,8.55961156945133,,
1976-09-01 00:00:00+00:00,29.27567954,3.2490974696,,13.8874619188,,3.089980239378187,,
1976-10-01 00:00:00+00:00,25.3421642226,10.8433734819,,9.0434898127,,3.089980239378187,,
1976-11-01 00:00:00+00:00,22.8755235715,6.0523938684,,3.9824744862,,3.089980239378187,,
1976-12-01 00:00:00+00:00,33.0609931976,9.254267763,,2.4838185214,,5.22668448295136,,
1977-01-01 00:00:00+00:00,39.1721677207,10.6047326961,,3.4436918521,,5.22668448295136,,
1977-02-01 00:00:00+00:00,44.7723782697,9.0128755369,,2.3745394995,,5.22668448295136,,
1977-03-01 00:00:00+00:00,33.2806283594,-0.3246753212,,3.1085664413,,6.281257937055562,,
1977-04-01 00:00:00+00:00,29.7966200467,14.1459074671,,4.044536032,,6.281257937055562,,
1977-05-01 00:00:00+00:00,27.4625853052,12.52285192,,3.3935627991,,6.281257937055562,,
1977-06-01 00:00:00+00:00,34.4146085963,0.0,,2.655889159,,4.729170141416916,,
1977-07-01 00:00:00+00:00,38.4637294479,0.0856164449,,3.1904198827,,4.729170141416916,,
1977-08-01 00:00:00+00:00,37.0632242516,-1.0230179115,,2.6455489406,,4.729170141416916,,
